"ORDER_ID","SOURCE_ID","DESTINATION_ID","HUB_ID","UPC","UPT","QTY_ORDERED_CASES","QTY_ALLOCATED_CASES","QTY_PICKED_CASES","QTY_SHIPPED_CASES","INTO_LOCATION_DATE","CREATION_DATE","LAST_UPDATE_DATE"
"8092354218","5012068010865","5012068031044","5012068056528","29463046","10",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.50.305135000,09-JUN-26 09.01.54.271973000
"8092354219","5012068010865","5012068007254","5012068039422","00992619","18",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.786655000,09-JUN-26 09.00.48.491642000
"8092354219","5012068010865","5012068007254","5012068039422","29397822","7",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.786655000,09-JUN-26 09.00.48.491642000
"8092354219","5012068010865","5012068007254","5012068039422","29463046","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.786655000,09-JUN-26 09.00.48.491642000
"8092354220","5012068010865","5012068006288","5012068056528","00992619","18",2,0,2,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.693062000,09-JUN-26 09.00.48.843027000
"8092354220","5012068010865","5012068006288","5012068056528","29397822","7",2,0,2,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.693062000,09-JUN-26 09.00.48.843027000
"8092354221","5012068010865","5012068019592","5012068053800","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.495469000,09-JUN-26 09.00.48.357584000
"8092354221","5012068010865","5012068019592","5012068053800","29463046","10",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.495469000,09-JUN-26 09.00.48.357584000
"8092354222","5012068010865","5012068002006","5012068039422","00992619","18",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.57.008459000,09-JUN-26 09.00.48.434288000
"8092354222","5012068010865","5012068002006","5012068039422","29397822","7",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.57.008459000,09-JUN-26 09.00.48.434288000
